om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
682659,2024,01,08,2024-01-08,11:52:00,3,LA,22,0,2.00,0,0,0,0,30.1252,-93.2163,30.1252,-93.2163,0,0,0,0,0,19,0,0,0
682660,2024,01,08,2024-01-08,12:10:00,3,LA,22,0,2.00,0,0,0,0,30.2200,-93.1600,30.2200,-93.1600,0,0,0,0,0,19,0,0,0
682661,2024,01,08,2024-01-08,12:24:00,3,LA,22,0,1.00,0,0,0,0,30.3800,-93.2000,30.3800,-93.2000,0,0,0,0,0,19,0,0,0
682662,2024,01,08,2024-01-08,13:54:00,3,TX,48,0,1.00,0,0,0,0,29.5200,-97.6900,29.5200,-97.6900,0,0,0,0,0,177,0,0,0
682663,2024,01,08,2024-01-08,13:58:00,3,TX,48,0,2.25,0,0,0,0,29.5200,-97.6800,29.5200,-97.6800,0,0,0,0,0,177,0,0,0
682664,2024,01,08,2024-01-08,14:00:00,3,TX,48,0,0.88,0,0,0,0,29.6400,-97.5800,29.6400,-97.5800,0,0,0,0,0,55,0,0,0
682665,2024,01,08,2024-01-08,14:00:00,3,TX,48,0,3.00,0,0,0,0,29.5100,-97.5500,29.5100,-97.5500,0,0,0,0,0,177,0,0,0
682666,2024,01,08,2024-01-08,14:00:00,3,TX,48,0,2.50,0,0,0,0,29.5000,-97.6200,29.5000,-97.6200,0,0,0,0,0,177,0,0,0
682667,2024,01,08,2024-01-08,14:05:00,3,TX,48,0,2.50,0,0,5000,0,29.5700,-97.4700,29.5700,-97.4700,0,0,0,0,0,177,0,0,0
682668,2024,01,08,2024-01-08,14:09:00,3,TX,48,0,1.75,0,0,0,0,29.5100,-97.5000,29.5100,-97.5000,0,0,0,0,0,177,0,0,0
682669,2024,01,08,2024-01-08,15:20:00,3,TX,48,0,0.75,0,0,0,0,30.0414,-96.3191,30.0414,-96.3191,0,0,0,0,0,15,0,0,0
682670,2024,01,08,2024-01-08,15:30:00,3,MS,28,0,1.75,0,0,200000,0,31.0400,-89.1800,31.0400,-89.1800,0,0,0,0,0,35,0,0,0
682671,2024,01,08,2024-01-08,15:42:00,3,TX,48,0,1.00,0,0,0,0,29.5000,-96.5700,29.5000,-96.5700,0,0,0,0,0,89,0,0,0
682672,2024,01,08,2024-01-08,16:01:00,3,MS,28,0,1.25,0,0,200000,0,32.8500,-90.4100,32.8500,-90.4100,0,0,0,0,0,163,0,0,0
682673,2024,01,08,2024-01-08,16:09:00,3,MS,28,0,1.00,0,0,30000,0,33.1400,-91.0660,33.1400,-91.0660,0,0,0,0,0,151,0,0,0
682674,2024,01,08,2024-01-08,17:19:00,3,LA,22,0,1.00,0,0,0,0,30.3600,-90.0500,30.3600,-90.0500,0,0,0,0,0,103,0,0,0
682675,2024,01,08,2024-01-08,17:52:00,3,LA,22,0,1.00,0,0,0,0,30.3800,-89.7400,30.3800,-89.7400,0,0,0,0,0,103,0,0,0
682676,2024,01,08,2024-01-08,18:15:00,3,MS,28,0,1.00,0,0,0,0,30.4500,-89.4300,30.4500,-89.4300,0,0,0,0,0,45,0,0,0
682677,2024,01,08,2024-01-08,18:36:00,3,MS,28,0,1.25,0,0,0,0,30.6300,-89.1400,30.6300,-89.1400,0,0,0,0,0,47,0,0,0
682678,2024,01,08,2024-01-08,18:50:00,3,MS,28,0,1.50,0,0,0,0,30.7100,-88.9400,30.7100,-88.9400,0,0,0,0,0,131,0,0,0
682679,2024,01,09,2024-01-09,04:55:00,3,FL,12,0,1.25,0,0,0,0,30.6800,-85.9800,30.6800,-85.9800,0,0,0,0,0,131,0,0,0
682680,2024,01,09,2024-01-09,05:01:00,3,FL,12,0,1.00,0,0,0,0,30.6900,-86.0000,30.6900,-86.0000,0,0,0,0,0,131,0,0,0
682681,2024,01,09,2024-01-09,05:25:00,3,FL,12,0,1.75,0,0,0,0,30.1600,-85.7200,30.1600,-85.7200,0,0,0,0,0,5,0,0,0
682682,2024,01,09,2024-01-09,05:30:00,3,FL,12,0,1.25,0,0,0,0,30.1800,-85.7800,30.1800,-85.7800,0,0,0,0,0,5,0,0,0
682683,2024,01,09,2024-01-09,05:30:00,3,FL,12,0,1.75,0,0,0,0,30.1600,-85.7300,30.1600,-85.7300,0,0,0,0,0,5,0,0,0
682684,2024,01,09,2024-01-09,05:37:00,3,FL,12,0,2.00,0,0,0,0,30.2700,-85.6700,30.2700,-85.6700,0,0,0,0,0,5,0,0,0
682685,2024,01,09,2024-01-09,05:52:00,3,AL,01,0,2.75,0,0,0,0,31.2100,-85.4000,31.2100,-85.4000,0,0,0,0,0,69,0,0,0
682686,2024,01,09,2024-01-09,05:53:00,3,AL,01,0,1.50,0,0,0,0,31.2200,-85.3900,31.2200,-85.3900,0,0,0,0,0,69,0,0,0
682687,2024,01,09,2024-01-09,09:40:00,3,GA,13,0,1.00,0,0,0,0,31.6100,-84.1500,31.6100,-84.1500,0,0,0,0,0,95,0,0,0
682688,2024,01,09,2024-01-09,13:04:00,3,SC,45,0,0.25,0,0,100,100,34.1700,-81.2700,34.1700,-81.2700,0,0,0,0,0,79,0,0,0
