om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt
752308,2024,01,06,2024-01-06,02:25:00,3,FL,12,0,50.0000,0,0,3000,0,29.8800,-84.5900,29.8800,-84.5900,0,0,0,0,0,37,0,0,0,EG
752309,2024,01,06,2024-01-06,02:27:00,3,FL,12,0,50.0000,0,0,2000,0,30.0700,-84.5000,30.0700,-84.5000,0,0,0,0,0,129,0,0,0,EG
752310,2024,01,06,2024-01-06,02:33:00,3,FL,12,0,50.0000,0,0,3000,0,30.2000,-84.2700,30.2000,-84.2700,0,0,0,0,0,129,0,0,0,EG
752311,2024,01,06,2024-01-06,02:55:00,3,FL,12,0,50.0000,0,0,3000,0,30.5200,-84.0000,30.5200,-84.0000,0,0,0,0,0,65,0,0,0,EG
752312,2024,01,06,2024-01-06,04:25:00,3,FL,12,0,50.0000,0,0,3000,0,30.1100,-83.5800,30.1100,-83.5800,0,0,0,0,0,123,0,0,0,EG
752313,2024,01,06,2024-01-06,05:00:00,3,FL,12,0,50.0000,0,0,2000,0,30.0000,-83.0300,30.0000,-83.0300,0,0,0,0,0,67,0,0,0,EG
752314,2024,01,08,2024-01-08,11:57:00,3,LA,22,0,50.0000,0,0,3000,0,29.9800,-93.3400,29.9800,-93.3400,0,0,0,0,0,23,0,0,0,EG
752315,2024,01,08,2024-01-08,12:32:00,3,TX,48,0,52.0000,0,0,0,0,31.4200,-93.9700,31.4200,-93.9700,0,0,0,0,0,403,0,0,0,EG
752316,2024,01,08,2024-01-08,14:05:00,3,TX,48,0,61.0000,0,0,5000,0,29.5014,-97.4528,29.5014,-97.4528,0,0,0,0,0,177,0,0,0,EG
752317,2024,01,08,2024-01-08,14:30:00,3,TX,48,0,61.0000,0,0,5000,0,29.5200,-97.4600,29.5200,-97.4600,0,0,0,0,0,177,0,0,0,EG
752318,2024,01,08,2024-01-08,15:06:00,3,TX,48,0,61.0000,0,0,5000,0,29.3049,-97.1542,29.3049,-97.1542,0,0,0,0,0,285,0,0,0,EG
752319,2024,01,08,2024-01-08,16:04:00,3,TX,48,0,50.0000,0,0,3000,0,30.9200,-94.4200,30.9200,-94.4200,0,0,0,0,0,457,0,0,0,EG
752320,2024,01,08,2024-01-08,16:05:00,3,TX,48,0,50.0000,0,0,0,0,30.2500,-94.6100,30.2500,-94.6100,0,0,0,0,0,199,0,0,0,EG
752321,2024,01,08,2024-01-08,16:30:00,3,TX,48,0,52.0000,0,0,0,0,29.8000,-95.4300,29.8000,-95.4300,0,0,0,0,0,201,0,0,0,EG
752322,2024,01,08,2024-01-08,16:38:00,3,TX,48,0,54.0000,0,0,0,0,29.6657,-95.3184,29.6657,-95.3184,0,0,0,0,0,201,0,0,0,EG
752323,2024,01,08,2024-01-08,16:47:00,3,TX,48,0,50.0000,0,0,2000,0,30.4700,-93.9600,30.4700,-93.9600,0,0,0,0,0,241,0,0,0,EG
752324,2024,01,08,2024-01-08,16:47:00,3,LA,22,0,57.0000,0,0,0,0,30.0000,-90.2500,30.0000,-90.2500,0,0,0,0,0,51,0,0,0,MG
752325,2024,01,08,2024-01-08,16:50:00,3,TX,48,0,52.0000,0,0,0,0,29.6743,-95.1981,29.6743,-95.1981,0,0,0,0,0,201,0,0,0,EG
752326,2024,01,08,2024-01-08,17:20:00,3,TX,48,0,50.0000,0,0,0,0,30.7300,-93.7200,30.7300,-93.7200,0,0,0,0,0,351,0,0,0,EG
752327,2024,01,08,2024-01-08,17:44:00,3,TX,48,0,55.0000,0,0,0,0,27.7000,-97.2700,27.7000,-97.2700,0,0,0,0,0,355,0,0,0,MG
752328,2024,01,08,2024-01-08,18:25:00,3,LA,22,0,50.0000,0,0,2000,0,30.4800,-93.3800,30.4800,-93.3800,0,0,0,0,0,11,0,0,0,EG
752329,2024,01,08,2024-01-08,18:41:00,3,MS,28,0,52.0000,0,0,0,0,30.7000,-89.1800,30.7000,-89.1800,0,0,0,0,0,131,0,0,0,EG
