om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,edat,etime
2501051437-01,2025,01,05,2025-01-05,14:37:00,3,MS,28,0,1.00,0,0,10000,0,33.1000,-91.1000,33.1000,-91.1000,0,0,0,0,0,151,0,0,0,2025-01-05,14:37:00
2501191224-01,2025,01,19,2025-01-19,12:24:00,3,FL,12,0,1.00,0,0,0,0,28.4100,-80.8200,28.4100,-80.8200,0,0,0,0,0,9,0,0,0,2025-01-19,12:24:00
2501191230-01,2025,01,19,2025-01-19,12:30:00,3,FL,12,0,1.00,0,0,0,0,28.4100,-80.7100,28.4100,-80.7100,0,0,0,0,0,9,0,0,0,2025-01-19,12:30:00
2501300515-01,2025,01,30,2025-01-30,05:15:00,3,NE,31,0,0.75,0,0,0,0,40.2500,-101.5300,40.2500,-101.5300,0,0,0,0,0,57,0,0,0,2025-01-30,05:15:00
2502052346-01,2025,02,05,2025-02-05,23:46:00,3,KY,21,0,1.00,0,0,0,0,37.7605,-84.9533,37.7605,-84.9533,0,0,0,0,0,167,0,0,0,2025-02-05,23:46:00
2502052354-01,2025,02,05,2025-02-05,23:54:00,3,KY,21,0,1.75,0,0,0,0,37.7500,-84.7700,37.7500,-84.7700,0,0,0,0,0,167,0,0,0,2025-02-05,23:54:00
2502061431-01,2025,02,06,2025-02-06,14:31:00,3,KY,21,0,0.88,0,0,0,0,36.8209,-87.4011,36.8209,-87.4011,0,0,0,0,0,47,0,0,0,2025-02-06,14:31:00
2502061440-01,2025,02,06,2025-02-06,14:40:00,3,IL,17,0,0.75,0,0,0,0,37.8100,-88.4300,37.8100,-88.4300,0,0,0,0,0,165,0,0,0,2025-02-06,14:40:00
2502061611-01,2025,02,06,2025-02-06,16:11:00,3,KY,21,0,1.75,0,0,0,0,36.9842,-82.9860,36.9842,-82.9860,0,0,0,0,0,95,0,0,0,2025-02-06,16:11:00
2502061855-01,2025,02,06,2025-02-06,18:55:00,3,TN,47,0,1.00,0,0,25000,0,36.2085,-85.0253,36.2085,-85.0253,0,0,0,0,0,49,0,0,0,2025-02-06,18:58:00
2502061902-01,2025,02,06,2025-02-06,19:02:00,3,KY,21,0,1.00,0,0,0,0,37.2570,-82.6012,37.2570,-82.6012,0,0,0,0,0,195,0,0,0,2025-02-06,19:02:00
2502062025-01,2025,02,06,2025-02-06,20:25:00,3,TN,47,0,1.25,0,0,0,0,36.3700,-83.4400,36.3700,-83.4400,0,0,0,0,0,57,0,0,0,2025-02-06,20:25:00
2502062040-01,2025,02,06,2025-02-06,20:40:00,3,TN,47,0,1.75,0,0,0,0,35.9700,-83.6100,35.9700,-83.6100,0,0,0,0,0,155,0,0,0,2025-02-06,20:40:00
2502062050-01,2025,02,06,2025-02-06,20:50:00,3,TN,47,0,1.00,0,0,0,0,35.9200,-83.3100,35.9200,-83.3100,0,0,0,0,0,89,0,0,0,2025-02-06,20:50:00
2502062100-01,2025,02,06,2025-02-06,21:00:00,3,TN,47,0,1.75,0,0,0,0,35.9500,-83.2000,35.9500,-83.2000,0,0,0,0,0,29,0,0,0,2025-02-06,21:00:00
2502062149-01,2025,02,06,2025-02-06,21:49:00,3,NC,37,0,1.50,0,0,0,0,35.7210,-82.7330,35.7210,-82.7330,0,0,0,0,0,115,0,0,0,2025-02-06,21:49:00
2502062150-01,2025,02,06,2025-02-06,21:50:00,3,NC,37,0,0.75,0,0,0,0,35.7230,-82.7020,35.7230,-82.7020,0,0,0,0,0,21,0,0,0,2025-02-06,21:50:00
2502062202-01,2025,02,06,2025-02-06,22:02:00,3,TN,47,0,1.00,0,0,0,0,35.8800,-83.1900,35.8800,-83.1900,0,0,0,0,0,29,0,0,0,2025-02-06,22:02:00
2502120205-01,2025,02,12,2025-02-12,02:05:00,3,TX,48,0,1.00,0,0,0,0,30.0500,-97.6900,30.0500,-97.6900,0,0,0,0,0,453,0,0,0,2025-02-12,02:05:00
2502120210-01,2025,02,12,2025-02-12,02:10:00,3,TX,48,0,1.00,0,0,0,0,30.1500,-97.5900,30.1500,-97.5900,0,0,0,0,0,453,0,0,0,2025-02-12,02:10:00
2502151800-01,2025,02,15,2025-02-15,18:00:00,3,TN,47,0,1.00,0,0,0,0,36.0300,-89.3800,36.0300,-89.3800,0,0,0,0,0,45,0,0,0,2025-02-15,18:05:00
2502151818-01,2025,02,15,2025-02-15,18:18:00,3,TN,47,0,1.75,0,0,0,0,35.4710,-89.9223,35.4710,-89.9223,0,0,0,0,0,167,0,0,0,2025-02-15,18:23:00
2502151859-01,2025,02,15,2025-02-15,18:59:00,3,TN,47,0,1.00,0,0,0,0,36.0700,-88.9900,36.0700,-88.9900,0,0,0,0,0,53,0,0,0,2025-02-15,19:04:00
2502151913-01,2025,02,15,2025-02-15,19:13:00,3,TN,47,0,1.00,0,0,0,0,36.1600,-88.8000,36.1600,-88.8000,0,0,0,0,0,183,0,0,0,2025-02-15,19:18:00
2502151915-01,2025,02,15,2025-02-15,19:15:00,3,TN,47,0,1.75,0,0,0,0,35.9800,-88.9400,35.9800,-88.9400,0,0,0,0,0,53,0,0,0,2025-02-15,19:20:00
2502151920-01,2025,02,15,2025-02-15,19:20:00,3,TN,47,0,1.75,0,0,0,0,35.9392,-88.8480,35.9392,-88.8480,0,0,0,0,0,53,0,0,0,2025-02-15,19:25:00
2502151925-01,2025,02,15,2025-02-15,19:25:00,3,TN,47,0,0.88,0,0,0,0,35.9400,-88.8200,35.9400,-88.8200,0,0,0,0,0,53,0,0,0,2025-02-15,19:30:00
2502151940-01,2025,02,15,2025-02-15,19:40:00,3,TN,47,0,1.00,0,0,0,0,36.3000,-88.3100,36.3000,-88.3100,0,0,0,0,0,79,0,0,0,2025-02-15,19:45:00
2502151940-02,2025,02,15,2025-02-15,19:40:00,3,TN,47,0,1.00,0,0,0,0,36.2995,-88.3256,36.2995,-88.3256,0,0,0,0,0,79,0,0,0,2025-02-15,19:45:00
2502151945-01,2025,02,15,2025-02-15,19:45:00,3,TN,47,0,1.00,0,0,0,0,36.3000,-88.3600,36.3000,-88.3600,0,0,0,0,0,79,0,0,0,2025-02-15,19:50:00
2502152028-01,2025,02,15,2025-02-15,20:28:00,3,TN,47,0,1.00,0,0,0,0,36.5568,-87.7345,36.5568,-87.7345,0,0,0,0,0,161,0,0,0,2025-02-15,20:28:00
2502152040-01,2025,02,15,2025-02-15,20:40:00,3,TN,47,0,1.00,0,0,0,0,36.0500,-88.1000,36.0500,-88.1000,0,0,0,0,0,5,0,0,0,2025-02-15,20:45:00
2502152041-01,2025,02,15,2025-02-15,20:41:00,3,MS,28,0,1.00,0,0,0,0,34.1182,-89.9113,34.1182,-89.9113,0,0,0,0,0,161,0,0,0,2025-02-15,20:45:00
2502152132-01,2025,02,15,2025-02-15,21:32:00,3,TN,47,0,1.00,0,0,0,0,36.2300,-87.4500,36.2300,-87.4500,0,0,0,0,0,43,0,0,0,2025-02-15,21:32:00
2502152140-01,2025,02,15,2025-02-15,21:40:00,3,KY,21,0,1.00,0,0,0,0,36.8500,-86.7000,36.8500,-86.7000,0,0,0,0,0,141,0,0,0,2025-02-15,21:40:00
2502152215-01,2025,02,15,2025-02-15,22:15:00,3,TN,47,0,0.88,0,0,0,0,36.3095,-86.8600,36.3095,-86.8600,0,0,0,0,0,37,0,0,0,2025-02-15,22:15:00
2502160341-01,2025,02,16,2025-02-16,03:41:00,3,GA,13,0,1.00,0,0,0,0,33.4824,-84.5325,33.4824,-84.5325,0,0,0,0,0,113,0,0,0,2025-02-16,03:42:00
2502241944-01,2025,02,24,2025-02-24,19:44:00,3,OR,41,0,1.00,0,0,0,0,45.1100,-122.6400,45.1361,-122.5981,0,0,0,0,0,5,0,0,0,2025-02-24,20:00:00
2502261848-01,2025,02,26,2025-02-26,18:48:00,3,IL,17,0,1.00,0,0,0,0,38.4200,-87.7600,38.4200,-87.7600,0,0,0,0,0,185,0,0,0,2025-02-26,18:48:00
2502261910-01,2025,02,26,2025-02-26,19:10:00,3,IN,18,0,1.00,0,0,0,0,38.4700,-87.5700,38.4700,-87.5700,0,0,0,0,0,51,0,0,0,2025-02-26,19:10:00
2502271413-01,2025,02,27,2025-02-27,14:13:00,3,OH,39,0,0.75,0,0,0,0,39.8100,-84.0600,39.8100,-84.0600,0,0,0,0,0,57,0,0,0,2025-02-27,14:15:00
2502271417-01,2025,02,27,2025-02-27,14:17:00,3,OH,39,0,0.75,0,0,0,0,39.7700,-84.0300,39.7700,-84.0300,0,0,0,0,0,57,0,0,0,2025-02-27,14:19:00
2502271510-01,2025,02,27,2025-02-27,15:10:00,3,OH,39,0,1.00,0,0,0,0,39.6400,-84.2900,39.6400,-84.2900,0,0,0,0,0,113,0,0,0,2025-02-27,15:12:00
2502271520-01,2025,02,27,2025-02-27,15:20:00,3,OH,39,0,1.00,0,0,0,0,39.5500,-84.2000,39.5500,-84.2000,0,0,0,0,0,165,0,0,0,2025-02-27,15:22:00
2502271530-01,2025,02,27,2025-02-27,15:30:00,3,KY,21,0,0.75,0,0,0,0,38.9499,-84.6767,38.9499,-84.6767,0,0,0,0,0,15,0,0,0,2025-02-27,15:32:00
