om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt,edat,etime
2412312350-01,2024,12,31,2024-12-31,23:50:00,3,CT,09,0,51.0000,0,0,0,0,41.2652,-72.3815,41.2652,-72.3815,0,0,0,0,0,7,0,0,0,MG,2024-12-31,23:50:00
2501051041-01,2025,01,05,2025-01-05,10:41:00,3,AR,05,0,52.0000,0,0,0,0,33.7000,-93.5300,33.7000,-93.5300,0,0,0,0,0,57,0,0,0,EG,2025-01-05,10:41:00
2501051120-01,2025,01,05,2025-01-05,11:20:00,3,TX,48,0,52.0000,0,0,0,0,32.5400,-94.4100,32.5400,-94.4100,0,0,0,0,0,203,0,0,0,EG,2025-01-05,11:20:00
2501051205-01,2025,01,05,2025-01-05,12:05:00,3,TX,48,0,52.0000,0,0,0,0,32.2000,-94.3200,32.2000,-94.3200,0,0,0,0,0,365,0,0,0,EG,2025-01-05,12:05:00
2501051210-01,2025,01,05,2025-01-05,12:10:00,3,LA,22,0,52.0000,0,0,0,0,32.5300,-93.9000,32.5300,-93.9000,0,0,0,0,0,17,0,0,0,EG,2025-01-05,12:10:00
2501051240-01,2025,01,05,2025-01-05,12:40:00,3,LA,22,0,52.0000,0,0,0,0,32.8200,-93.4200,32.8200,-93.4200,0,0,0,0,0,119,0,0,0,EG,2025-01-05,12:40:00
2501051255-01,2025,01,05,2025-01-05,12:55:00,3,LA,22,0,52.0000,0,0,0,0,32.5300,-93.4100,32.5300,-93.4100,0,0,0,0,0,119,0,0,0,EG,2025-01-05,12:55:00
2501051301-01,2025,01,05,2025-01-05,13:01:00,3,LA,22,0,52.0000,0,0,0,0,32.5100,-92.3000,32.5100,-92.3000,0,0,0,0,0,73,0,0,0,EG,2025-01-05,13:01:00
2501051315-01,2025,01,05,2025-01-05,13:15:00,3,LA,22,0,52.0000,0,0,0,0,32.3300,-93.2800,32.3300,-93.2800,0,0,0,0,0,13,0,0,0,EG,2025-01-05,13:15:00
2501051358-01,2025,01,05,2025-01-05,13:58:00,3,LA,22,0,52.0000,0,0,0,0,32.4973,-92.8057,32.4973,-92.8057,0,0,0,0,0,61,0,0,0,EG,2025-01-05,13:58:00
2501051425-01,2025,01,05,2025-01-05,14:25:00,3,LA,22,0,52.0000,0,0,0,0,32.9000,-92.1500,32.9000,-92.1500,0,0,0,0,0,111,0,0,0,EG,2025-01-05,14:25:00
2501051505-01,2025,01,05,2025-01-05,15:05:00,3,LA,22,0,52.0000,0,0,0,0,32.6500,-91.9400,32.6500,-91.9400,0,0,0,0,0,73,0,0,0,EG,2025-01-05,15:05:00
2501051510-01,2025,01,05,2025-01-05,15:10:00,3,LA,22,0,52.0000,0,0,10000,0,32.7000,-91.9300,32.7000,-91.9300,0,0,0,0,0,67,0,0,0,EG,2025-01-05,15:10:00
2501051531-01,2025,01,05,2025-01-05,15:31:00,3,MS,28,0,56.0000,0,0,5000,0,34.6300,-90.2600,34.6300,-90.2600,0,0,0,0,0,143,0,0,0,EG,2025-01-05,15:36:00
2501051531-02,2025,01,05,2025-01-05,15:31:00,3,MS,28,0,56.0000,0,0,0,1000,34.6300,-90.2500,34.6300,-90.2500,0,0,0,0,0,143,0,0,0,EG,2025-01-05,15:36:00
2501051534-01,2025,01,05,2025-01-05,15:34:00,3,MS,28,0,56.0000,0,0,0,500,34.6100,-90.1900,34.6100,-90.1900,0,0,0,0,0,137,0,0,0,EG,2025-01-05,15:39:00
2501051641-01,2025,01,05,2025-01-05,16:41:00,3,LA,22,0,50.0000,0,0,2000,0,31.3900,-92.4200,31.3900,-92.4200,0,0,0,0,0,79,0,0,0,EG,2025-01-05,16:41:00
2501051650-01,2025,01,05,2025-01-05,16:50:00,3,MS,28,0,56.0000,0,0,5000,0,32.9700,-90.5800,32.9700,-90.5800,0,0,0,0,0,53,0,0,0,EG,2025-01-05,16:50:00
2501051720-01,2025,01,05,2025-01-05,17:20:00,3,MS,28,0,50.0000,0,0,35000,0,33.5000,-89.9700,33.5000,-89.9700,0,0,0,0,0,15,0,0,0,EG,2025-01-05,17:20:00
2501051730-01,2025,01,05,2025-01-05,17:30:00,3,LA,22,0,50.0000,0,0,1000,0,30.3000,-93.2100,30.3000,-93.2100,0,0,0,0,0,19,0,0,0,EG,2025-01-05,17:30:00
2501051735-01,2025,01,05,2025-01-05,17:35:00,3,LA,22,0,50.0000,0,0,0,0,31.1100,-92.2400,31.1100,-92.2400,0,0,0,0,0,79,0,0,0,EG,2025-01-05,17:35:00
2501051744-01,2025,01,05,2025-01-05,17:44:00,3,MS,28,0,52.0000,0,0,5000,0,33.5600,-89.6600,33.5600,-89.6600,0,0,0,0,0,97,0,0,0,EG,2025-01-05,17:44:00
2501051756-01,2025,01,05,2025-01-05,17:56:00,3,MS,28,0,50.0000,0,0,3000,0,33.5800,-89.5500,33.5800,-89.5500,0,0,0,0,0,97,0,0,0,EG,2025-01-05,17:56:00
